ID,Tipo,SKU,"GTIN, UPC, EAN o ISBN",Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,¿Existencias?,Inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Posición,Marcas,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Nombre del atributo 2,Valor(es) del atributo 2,Atributo visible 2,Atributo global 2,Nombre del atributo 3,Valor(es) del atributo 3,Atributo visible 3,Atributo global 3,Nombre del atributo 4,Valor(es) del atributo 4,Atributo visible 4,Atributo global 4,Nombre del atributo 5,Valor(es) del atributo 5,Atributo visible 5,Atributo global 5,Nombre del atributo 6,Valor(es) del atributo 6,Atributo visible 6,Atributo global 6,Nombre del atributo 7,Valor(es) del atributo 7,Atributo visible 7,Atributo global 7,Nombre del atributo 8,Valor(es) del atributo 8,Atributo visible 8,Atributo global 8
2468,variable,DEM300,,EQUIPO RADIO DIGITAL ANALOGO MOVIL DMR MOTOROLA DEM300,1,0,visible,"Incluye: micrófono con clip (PMMN4090), cable (HKN4191), soporte (RLN6469) y guía de uso.
\n
\n[nectar_btn size=""large"" button_style=""regular"" button_color_2=""Accent-Color"" icon_family=""none"" text=""Descargar Ficha Técnica"" url=""https://www.interwins.cl/wp-content/uploads/2025/10/DEM300an.pdf""]","Capacidad de interrupción de transmisión
\n
\nPermite que un usuario interrumpa una conversación activa para emitir un mensaje prioritario o de emergencia, asegurando que la información esencial se comunique en el momento y lugar precisos. Ideal para operaciones donde la inmediatez es clave.
\n
\nCompatible con el conjunto de aplicaciones de administración del radio
\n
\nOptimice la configuración de su flota con la herramienta de administración de radios, que permite programar múltiples dispositivos de forma rápida y eficiente. La programación por lotes, basada en plantillas estandarizadas, reduce errores y mejora el rendimiento operativo de toda la red de comunicación.
\n
\nClasificación IP54
\n
\nDiseñado para soportar condiciones exigentes, el radio cuenta con protección contra polvo y salpicaduras, lo que le permite operar con total confianza en entornos industriales, exteriores o desafiantes.",1,,0,0,,"Ventas > VENTA EQUIPOS RADIO DIGITAL ANALOGO PORTATIL MOVIL > VENTA EQUIPOS RADIO ANALOGOS MOTOROLA > EQUIPOS RADIO ANALOGOS MOVILES MOTOROLA, Ventas > VENTA EQUIPOS RADIO DIGITAL ANALOGO PORTATIL MOVIL > VENTA EQUIPOS RADIO ANALOGOS MOTOROLA, Ventas > VENTA EQUIPOS RADIO DIGITAL ANALOGO PORTATIL MOVIL, Ventas > VENTA EQUIPOS RADIO DIGITAL ANALOGO PORTATIL MOVIL > VENTA EQUIPOS RADIO DIGITALES MOTOROLA, Ventas > VENTA EQUIPOS RADIO DIGITAL ANALOGO PORTATIL MOVIL > VENTA EQUIPOS RADIO DIGITALES MOTOROLA > VENTA EQUIPOS RADIO DIGITALES MOVILES MOTOROLA, Ventas",,,"https://www.interwins.cl/wp-content/uploads/2025/10/DEM300an.png, https://www.interwins.cl/wp-content/uploads/2023/12/DEM-300.png",6,,Tipo Producto,Equipos Radio,1,1,Tecnología,"Análogos, Digitales",1,1,Portabilidad,Móviles,1,1,Frecuencia,VHF,1,1,Canales,16,1,1,Consumo,"25W, 45W",1,1,Modalidad,Venta,1,1,Marca,Motorola,1,1
2469,variation,DEM300,,"EQUIPO RADIO DIGITAL ANALOGO MOVIL DMR MOTOROLA DEM300 - Digitales, 25W",1,0,visible,,,1,,0,0,556173,,,,https://www.interwins.cl/wp-content/uploads/2025/10/DEM300.png,2,,Tecnología,Digitales,,1,Consumo,25W,,1,,,,,,,,,,,,,,,,,,,,,,,,
2470,variation,DEM300,,"EQUIPO RADIO DIGITAL ANALOGO MOVIL DMR MOTOROLA DEM300 - Análogos, 45W",1,0,visible,,,1,,0,0,376171,,,,https://www.interwins.cl/wp-content/uploads/2025/10/DEM300an.png,3,,Tecnología,Análogos,,1,Consumo,45W,,1,,,,,,,,,,,,,,,,,,,,,,,,
2471,variable,DEM400,,EQUIPO RADIO DIGITAL MOVIL DMR MOTOROLA DEM400,1,0,visible,"Incluye: micrófono con clip (PMMN4090), cable (HKN4191), soporte (RLN6469) y guía de uso.","Capacidad de interrupción de transmisión.
\nPermite que un usuario interrumpa la comunicación de otro radio para emitir un mensaje prioritario o crítico, asegurando que la información esencial se transmita justo en el momento y lugar donde se requiere.
\n
\nCompatible con el conjunto de aplicaciones de administración del radio.
\nOptimiza la programación de sus radios de forma rápida y eficiente mediante la herramienta de administración de radios. Es posible configurar múltiples equipos simultáneamente a partir de una plantilla estandarizada, reduciendo errores y mejorando el desempeño general del sistema.
\n
\nClasificación IP57
\nOfrece resistencia al polvo y a la inmersión temporal en agua, lo que garantiza un funcionamiento confiable incluso en los entornos más exigentes y desafiantes.",1,,0,0,,"Ventas > VENTA EQUIPOS RADIO DIGITAL ANALOGO PORTATIL MOVIL, Ventas > VENTA EQUIPOS RADIO DIGITAL ANALOGO PORTATIL MOVIL > VENTA EQUIPOS RADIO DIGITALES MOTOROLA, Ventas > VENTA EQUIPOS RADIO DIGITAL ANALOGO PORTATIL MOVIL > VENTA EQUIPOS RADIO DIGITALES MOTOROLA > VENTA EQUIPOS RADIO DIGITALES MOVILES MOTOROLA, Ventas",,,"https://www.interwins.cl/wp-content/uploads/2025/10/dem400di.png, https://www.interwins.cl/wp-content/uploads/2023/12/DEM-400.png",7,,Tipo Producto,Equipos Radio,1,1,Tecnología,"Análogos, Digitales",1,1,Portabilidad,Móviles,1,1,Frecuencia,VHF,1,1,Canales,64,1,1,Consumo,"25W, 45W",1,1,Modalidad,Venta,1,1,Marca,Motorola,1,1
2472,variation,DEM400,,"EQUIPO RADIO DIGITAL MOVIL DMR MOTOROLA DEM400 - Digitales, 25W",1,0,visible,,"[nectar_btn size=""large"" button_style=""regular"" button_color_2=""Accent-Color"" icon_family=""none"" text=""Descargar Ficha Técnica"" url=""https://www.interwins.cl/wp-content/uploads/2025/10/dem400di.pdf""]",1,,0,0,654001,,,,https://www.interwins.cl/wp-content/uploads/2025/10/dem400di.png,1,,Tecnología,Digitales,,1,Consumo,25W,,1,,,,,,,,,,,,,,,,,,,,,,,,
2473,variation,DEM400,,"EQUIPO RADIO DIGITAL MOVIL DMR MOTOROLA DEM400 - Análogos, 45W",1,0,visible,,"[nectar_btn size=""large"" button_style=""regular"" button_color_2=""Accent-Color"" icon_family=""none"" text=""Descargar Ficha Técnica"" url=""https://www.interwins.cl/wp-content/uploads/2025/10/dem400ana.pdf""]",1,,0,0,407829,,,,https://www.interwins.cl/wp-content/uploads/2025/10/dem400ana.png,2,,Tecnología,Análogos,,1,Consumo,45W,,1,,,,,,,,,,,,,,,,,,,,,,,,
2474,variable,DEM500,,EQUIPO RADIO DIGITAL MOVIL DMR MOTOROLA DEM500,1,0,visible,"Incluye: micrófono con clip (PMMN4090), cable 10 ft (HKN4191), soporte (RLN6469) y guía de uso.
\n
\n[nectar_btn size=""large"" button_style=""regular"" button_color_2=""Accent-Color"" icon_family=""none"" text=""Descargar Ficha Técnica"" url=""https://www.interwins.cl/wp-content/uploads/2025/10/DEM500.pdf""]","Funcionalidad Transmit Interrupt
\nPermite que un usuario interrumpa una conversación en curso para transmitir un mensaje crítico, asegurando que la comunicación esencial se emita exactamente en el momento y lugar necesarios.
\n
\nCompatible con el conjunto de aplicaciones de administración de radio.
\nPrograme sus radios con rapidez y eficiencia mediante la herramienta de administración de radio. Los equipos pueden configurarse en lotes utilizando una plantilla estandarizada, lo que garantiza resultados precisos, sin errores y con un rendimiento óptimo.
\n
\nProgramación remota (OTAP)
\nAdministre, lea y actualice hasta 5.000 configuraciones de radio de manera inalámbrica, reduciendo tiempos de mantenimiento y maximizando la productividad operativa.
\n
\nAudio inteligente
\nAjusta automáticamente el volumen del radio para compensar el ruido ambiental. De esta forma, los usuarios no necesitan modificar manualmente el volumen, evitando tanto la pérdida de llamadas en entornos ruidosos como molestias en áreas más silenciosas.
\n
\nPrivacidad mejorada
\nIncorpora codificación avanzada que ofrece mayor seguridad y protección de la información transmitida.
\n
\nAudio IMPRES&#x2122;
\nDiseñado para ofrecer un audio potente y claro en cualquier entorno. Ya sea un susurro durante una operación encubierta o una instrucción en medio de un incendio, los accesorios de audio IMPRES&#x2122; garantizan comunicaciones nítidas, tanto en modo analógico como digital.
\n
\nFuncionalidad de sistemas
\nDisfrute de la amplia cobertura que ofrece MOTOTRBO&#x2122;. La tecnología IP Site Connect utiliza Internet para extender la cobertura y crear una red de área amplia, mientras que el enlace troncal de sitio individual Capacity Plus amplía la capacidad a más de 1.000 usuarios sin necesidad de frecuencias adicionales.
\n
\nClasificación IP54
\nBrinda protección contra el polvo y la lluvia intensa, asegurando un desempeño confiable incluso en condiciones ambientales adversas.",1,,0,0,,"Ventas > VENTA EQUIPOS RADIO DIGITAL ANALOGO PORTATIL MOVIL, Ventas > VENTA EQUIPOS RADIO DIGITAL ANALOGO PORTATIL MOVIL > VENTA EQUIPOS RADIO DIGITALES MOTOROLA, Ventas > VENTA EQUIPOS RADIO DIGITAL ANALOGO PORTATIL MOVIL > VENTA EQUIPOS RADIO DIGITALES MOTOROLA > VENTA EQUIPOS RADIO DIGITALES MOVILES MOTOROLA, Ventas",,,"https://www.interwins.cl/wp-content/uploads/2025/10/DEM500.png, https://www.interwins.cl/wp-content/uploads/2023/12/DEM-500.jpg",8,,Tipo Producto,Equipos Radio,1,1,Tecnología,Digitales,1,1,Portabilidad,Móviles,1,1,Frecuencia,VHF,1,1,Canales,128,1,1,Consumo,"25W, 45W",1,1,Modalidad,Venta,1,1,Marca,Motorola,1,1
2475,variation,DEM500,,EQUIPO RADIO DIGITAL MOVIL DMR MOTOROLA DEM500 - 25W,1,0,visible,,,1,,0,0,807486,,,,https://www.interwins.cl/wp-content/uploads/2025/10/DEM500.png,1,,Consumo,25W,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477,variation,DEM500,,EQUIPO RADIO DIGITAL MOVIL DMR MOTOROLA DEM500 - 45W,1,0,visible,,,1,,0,0,849321,,,,https://www.interwins.cl/wp-content/uploads/2025/10/DEM500.png,2,,Consumo,45W,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478,variable,DGM5000e,,EQUIPO RADIO DIGITAL MOVIL DMR MOTOROLA DGM5000e,1,0,visible,"Incluye: micrófono compacto (RMN5052), cable (HKN4191), soporte (RLN6469) y guía de uso.<br>","Funcionalidad Transmit Interrupt\nPermite que un usuario interrumpa una conversación en curso para transmitir un mensaje crítico, asegurando que la comunicación esencial se escuche justo en el momento y lugar necesarios.\n\nCompatible con el conjunto de aplicaciones de administración de radio.\nPrograme sus radios con rapidez y eficiencia mediante la herramienta de administración de radio. Los equipos pueden configurarse por lotes a partir de una plantilla estandarizada, lo que garantiza resultados precisos, sin errores y con un rendimiento operativo óptimo.\n\nProgramación remota (OTAP)\nAdministre, lea y actualice hasta 5.000 configuraciones de radio de manera inalámbrica, optimizando el mantenimiento y reduciendo el tiempo de inactividad de su operación.\n\nAudio inteligente\nAjusta automáticamente el volumen del radio para compensar el ruido ambiente. De esta forma, los usuarios no necesitan modificar el volumen manualmente, evitando la pérdida de llamadas en entornos ruidosos y el exceso de sonido en áreas más silenciosas.\n\nPrivacidad mejorada\nIntegra codificación avanzada que refuerza la seguridad de las comunicaciones, protegiendo la información sensible de su organización.\n\nAudio IMPRES™\nOfrece un audio fuerte, claro y consistente en cualquier entorno. Ya sea un susurro durante una operación encubierta o una instrucción en medio del ruido extremo de un incendio, los accesorios de audio IMPRES™ garantizan una comunicación nítida, tanto en modo analógico como digital.\n\nFuncionalidad de sistemas\nDisfrute de la amplia cobertura de MOTOTRBO™. La tecnología IP Site Connect utiliza Internet para ampliar el alcance y crear una red de área extensa, mientras que el enlace troncal de sitio individual Capacity Plus permite conectar a más de 1.000 usuarios sin requerir frecuencias adicionales.\n\nClasificación IP54\nProtege su radio del polvo y la lluvia intensa, brindando un desempeño confiable incluso en las condiciones más exigentes.",1,,0,0,,"Ventas > VENTA EQUIPOS RADIO DIGITAL ANALOGO PORTATIL MOVIL, Ventas > VENTA EQUIPOS RADIO DIGITAL ANALOGO PORTATIL MOVIL > VENTA EQUIPOS RADIO DIGITALES MOTOROLA, Ventas > VENTA EQUIPOS RADIO DIGITAL ANALOGO PORTATIL MOVIL > VENTA EQUIPOS RADIO DIGITALES MOTOROLA > VENTA EQUIPOS RADIO DIGITALES MOVILES MOTOROLA, Ventas",,,"https://www.interwins.cl/wp-content/uploads/2025/10/DGM5500.png, https://www.interwins.cl/wp-content/uploads/2023/12/MOVIL-DIGITAL-DGM5000e.png",11,,Tipo Producto,Equipos Radio,1,1,Tecnología,Digitales,1,1,Portabilidad,Móviles,1,1,Frecuencia,"UHF, VHF",1,1,Canales,32,1,1,Consumo,"25W, 45W",1,1,Modalidad,Venta,1,1,Marca,Motorola,1,1
2479,variation,DGM5000e,,"EQUIPO RADIO DIGITAL MOVIL DMR MOTOROLA DGM5000e - VHF, 25W",1,0,visible,,,1,,0,0,986658,,,,https://www.interwins.cl/wp-content/uploads/2025/10/DGM5500.png,1,,Frecuencia,VHF,,1,Consumo,25W,,1,,,,,,,,,,,,,,,,,,,,,,,,
2480,variation,DGM5000e,,"EQUIPO RADIO DIGITAL MOVIL DMR MOTOROLA DGM5000e - UHF, 45W",1,0,visible,,,1,,0,0,1059092,,,,https://www.interwins.cl/wp-content/uploads/2025/10/DGM5500.png,2,,Frecuencia,UHF,,1,Consumo,45W,,1,,,,,,,,,,,,,,,,,,,,,,,,
