DEM 500,DGM4100 DGM6100,DGM4100+ DGM6100+,DGM5000/5000e 5500/5500e,DGM8000/8000e 8500/8500e,Código,Descripción,,LISTA
,,,,,Antenas: Las siguientes antenas están destinadas a clientes que desean una antena combinada UHF o VHF y GPS,,,
,X,X,X,X,HAE6020,Antena combinada GPS UHF 1/4 onda 470-527 MHZ,, $ 261.355 
,,X,,X,HAF4029,"Combinación de GPS+RF, 806-941 MHZ, 1/4 de onda, montaje perforado, mini-u",, $ 229.721 
,,X,,X,HAF4033,"Combinación de GPS+RF, 806-941 MHZ, ganancia de 5dB, montaje perforado, mini-U",, $ 332.634 
,X,,X,,PMAE4031,"Antena combinada GPS UHF 450-470 MHZ, 1/4 de onda montaje perforado",, $ 237.596 
,X,,X,,PMAE4033,"Antena combinada GPS UHF 450-470 MHZ, 3,5 dB , montaje perforado",, $ 294.166 
,X,,X,,PMAE4034,"Antena combinada GPS UHF 450-470 MHZ, 5 dB, montaje perforado",, $ 295.705 
,X,,X,,RAD4214,"Combinación de antena de 1/4 onda con conector mini U para GPS y VHF, 136-144 MHZ",, $ 235.831 
,X,,X,,RAD4216,"Combinación de antena 1/4 de onda con conector mini U para GPS y VHF, 150,8-162 MHZ",, $ 214.968 
,X,,X,,RAD4217,"Combinación de antena 1/4 de onda con conector mini U para GPS y VHF, 162-174 MHZ",, $ 235.831 
,X,,X,,RAD4218,"Combinación de antena, ganancia 3 dB y conector mini U para GPS y VHF, 146-172 MHZ",, $ 236.555 
,X,,X,X,RAD4227,Kit de antena VHF de 1/4 onda. 146-172 MHZ. Ganancia de 3 dB.,, $ 90.513 
,,,,,"
Las siguientes antenas son para clientes que tienen antenas móviles existentes y desean agregar  GPS",,,
,X,X,X,X,PMAN4000,Antena de GPS montaje fijo,, $ 192.339 
,X,X,X,X,PMAN4001,Antena GPS para montaje de ventana,, $ 83.091 
,X,X,X,X,PMAN4002,Antena GPS para montaje magnético,, $ 79.199 
,X,X,X,X,PMAN4010,Antena GPS activa instalación magnética,, $ 101.646 
,,,,,Las siguientes antenas están destinadas a clientes que no planean usar GPS,,,
X,X,,X,,HAD4006,"136-144 MHZ 1/4 onda, montaje de techo",, $ 33.241 
