EP350MX,EP450,DEP450,R2,SL500,DEP250,A8,X10d,Código,Descripción,Clasificación,LISTA
Antenas,,,,,,,,,,,
,,,,X,,,,32012144001,Antena color gris ID  (pack de 10),, $ 9.029 
,,,,X,,,,32012144002,Antena color amarilla ID (pack de 10),, $ 9.029 
,,,,X,,,,32012144003,Antena color verde ID (pack de 10),, $ 9.029 
,,,,X,,,,32012144004,Antena color azul ID (pack de 10),, $ 9.029 
,,,,X,,,,32012144005,Antena color morada ID (pack de 10),, $ 9.029 
,,,X,,,,,PMAE4069,UHF antena corta (403-450 MHZ) FM / UL. ,, $ 15.500 
,,,X,,,,,PMAE4070,UHF antena corta (440-490 MHZ) FM / UL. ,, $ 15.500 
,,,X,,,,,PMAE4079,UHF antena delgada whip (403-512 MHZ) FM  / UL.,, $ 15.116 
,,,X,,,,,PMAD4116,VHF antena helical (144-165 MHZ) FM ,, $ 14.097 
,,,X,,,,,PMAD4117,VHF antena helical (135-155 MHZ) FM. ,, $ 14.459 
,,,X,,,,,PMAD4118,VHF antena helical (152-174 MHZ) FM. ,, $ 14.097 
,,,X,,,,,PMAD4147,VHF antena slim whip (400-527),, $ 24.687 
,,,X,,,,,PMAD4119,VHF antena corta (136-148 MHZ) FM. ,, $ 16.519 
,,,X,,,,,PMAD4120,VHF antena corta (146-160 MHZ) FM. ,, $ 16.519 
,,,X,,,,,PMAD4121,Antena VHF corta (160-174MHZ) - FM / UL ,, $ 16.519 
X,,,,,,,,8504762J02,Antena standard VHF 155-174 MHZ (negra),, $ 18.668 
,,X,,,,,,8505816K24,"Antena UHF heliflex stubby, 403-440 MHZ",, $ 22.492 
X,,,,,,,,HAD9338,Antena heliflex VHF 136-162 MHZ,, $ 17.016 
X,X,X,,,,,,HAD9742,Antena corta 146-172 MHZ,, $ 14.957 
X,X,X,,,,,,HAD9743,Antena corta 162-174 MHZ,, $ 14.957 
X,X,X,,,,,,NAD6502,Antena heliflex 146-174 MHZ,, $ 17.016 
X,,,,,,,,NAD6579,"Antena tipo látigo VHF, 148-161 MHZ",, $ 18.668 
X,,X,,,,,,PMAD4012,Antena corta VHF 136-155 MHZ,, $ 14.663 
X,,,,,,,,PMAD4013,Antena corta VHF 155-174 MHZ,, $ 14.663 
X,,X,,,,,,PMAD4014,Antena standard VHF 136-155 MHZ,, $ 18.668 
,,X,,,,,,PMAD4042,Antena helicoidal VHF 136-155 MHZ,, $ 24.438 
