Precios correctos - A&E Movil Profesional (1).csvVX-80,VZ-30,VX-261,VX-264,EVX-261,Código actual Motorola,Código NO vigente Vertex,Marca,Descripción,Precio Lista
Antenas,,,,,,,,,
,,X,X,X,AAE23X501,XUCET0010,Motorola,"ATU-6A 400-430 MHZ / Marrón / 6.5 ""/ VX10UA / 600/800/900", $  17.424 
,,,,X,AAE23X506,Q3000216,Motorola,Antena ATU-6B 420-450 MHz, $  17.424 
,,,,X,AAE23X502,AAE23X002,Motorola,Antena ATU-6C 440-470 MHz, $  17.424 
,,X,X,X,AAE23X503,XUCET0012,Motorola,"ATU-6D 450-485 MHZ / Rojo / 6 ""/ VX-", $  17.424 
,,X,X,X,AAE20X503,XUCET0013,Motorola,"Antena ATU-6DS 450-485 MHz / 3.5 """, $  17.424 
,,X,X,X,AAE23X504,Q3000203,Motorola,Antena ATU-6F UHF 490-512 MHz, $  17.424 
,,X,X,X,AAG42X501,XUCET0022,Motorola,"ATV-6XL Antena VHF sin sintonizar 7 """, $  17.424 
,,X,X,X,AAE24X501,XUCET0023,Motorola,"Antena ATV-8A 134-150 MHz / Sable / 6 """, $  17.424 
,,X,X,X,AAE24X502,XUCET0024,Motorola,"Antena ATV-8B 150-163 MHz / Sable / 6 """, $  17.424 
,,X,X,X,AAE24X503,XUCET0025,Motorola,"Antena ATV-8C 162-174 MHz / Sable / 6 """, $  17.424 
,X,,,,CZ083AN005,,Vertex,VZ Series UHF Antenna 400-470MHz, $  5.250 
,X,,,,CZ083AN006,,Vertex,VZ Series VHF Antenna 136-174MHz, $  7.332 
X,,,,,CZ089AN003,,Vertex,Antena UHF 400-440 Mhz, $  6.698 
X,,,,,CZ089AN004,,Vertex,Antena UHF 440-470 Mhz , $  4.345 
X,,,,,CZ089AN005,,Vertex,Antena VHF 136-150 Mhz, $  6.042 
X,,,,,CZ089AN006,,Vertex,Antena VHF 150-174 Mhz, $  6.698 
Baterías,,,,,,,,,
