R5,DEP 500e / 570e,SL 500e,DGP 4100,DGP 6100,DGP 6100+,DGP 5000 / 5000e,DGP 8000 / 8000e,SL 8050,SL8550 e,Código,Descripción,DEP500 UL TIA-4950,DGP 5000/8000e UL TIA-4950,,LISTA
,,,,,,,,,,Antenas Portátiles,,,,,
,,,,,X,,,,,NAF5087,Antena whip 800 MHZ 1/2 onda - Intrínsecamente Seguro. FM ,,,, $ 49.850 
,,,X,X,,,,,,PMAD4067,Antena combinación GPS/VHF (136-147 MHZ),,,, $ 18.103 
,,,X,X,,,,,,PMAD4068,Antena combinacion gps/VHF (136-160 MHZ),,,, $ 17.650 
,,,X,X,,,,,,PMAD4069,Antena combinacion gps/VHF (160-174 MHZ),,,, $ 17.944 
,,,X,X,,,,,,PMAD4088,Antena de látigo flexible VHF 21cm (136-174MHZ) - Intrínsecamente Segura (FM),,,, $ 37.880 
,,,X,X,,,,,,PMAD4093,VHF antena corta (136-147MHZ) FM,,,, $ 21.995 
,,,X,X,,,,,,PMAD4094,VHF antena corta(147-160 MHZ) FM,,,, $ 21.995 
,,,X,X,,,,,,PMAD4095,VHF antena corta (160-174MHZ) FM,,,, $ 21.995 
X,X,,,,,X,X,,,PMAD4116,VHF antena helical (144-165 MHZ) FM * Serie DGP 8000 sólo versión e,X,X,, $ 14.097 
X,X,,,,,X,X,,,PMAD4117,VHF antena helical (135-155 MHZ) FM. * Serie DGP 8000 sólo versión e,X,X,, $ 14.459 
X,X,,,,,X,X,,,PMAD4118,VHF antena helical (152-174 MHZ) FM. * Serie DGP 8000 sólo versión e,X,X,, $ 14.097 
X,X,,,,,X,X,,,PMAD4119,VHF antena corta (136-148 MHZ) FM. * Serie DGP 8000 sólo versión e,X,X,, $ 16.519 
X,X,,,,,X,X,,,PMAD4120,VHF antena corta (146-160 MHZ) FM. * Serie DGP 8000 sólo versión e,X,X,, $ 16.519 
X,X,,,,,X,X,,,PMAD4121,Antena VHF corta (160-174MHZ) - FM / UL *Serie DEP500 y DGP 8000 sólo versión e,X,X,, $ 16.519 
,,X,,,,,,,,PMAD4144,Antena VHF corta (136-144MHZ) 5cm,,,, $ 13.690 
,,X,,,,,,,,PMAD4145,Antena VHF corta (144-156MHZ) 5cm,,,, $ 13.690 
,,X,,,,,,,,PMAD4146,Antena VHF corta (156-174MHZ) 5cm,,,, $ 13.690 
X,,,,,,,,,,PMAD4147,"Antena de látigo delgada (400-527 MHz), banda ancha combinada VHF/GPS",,,, $ 24.687 
