ION,R7,Código,Descripción,LISTA
X,X,AN000350A01,Antena Stubby corta (400-450 MHz), $ 13.984 
X,X,AN000351A01,Antena Stubby corta (440-490 MHz), $ 13.984 
X,X,AN000348A01,Antena Stubby banda ancha (400-527 MHz), $ 17.107 
X,,AN000415A01,Antena látigo 8/900 (806-941 MHz), $ 26.928 
,X,PMAE4079,"Antena de látigo delgada (400-527 MHz), banda ancha combinada UHF/GPS", $ 15.116 
,X,PMAD4116,Antena helicoidal combinada VHF/GPS (144-165 MHz), $ 14.097 
,X,PMAD4117,Antena helicoidal combinada VHF/GPS (136-155 MHz), $ 14.459 
,X,PMAD4118,Antena helicoidal combinada VHF/GPS (152-174 MHz), $ 14.097 
,X,PMAD4147,"Antena de látigo delgada (400-527 MHz), banda ancha combinada VHF/GPS", $ 24.687 
,X,PMAE4069,UHF/GPS antena Stubby (403-450 MHz) , $ 15.500 
,X,PMAE4070,UHF/GPS antena Stubby (440-490 MHz) , $ 15.500 
,X,PMAE4071,Antena Stubby combinada UHF/GPS (470-527 MHz), $ 15.500 
,X,PMAD4119,Antena Stubby combinada UHF/GPS (136-148 MHz), $ 16.519 
,X,PMAD4120,Antena Stubby combinada UHF/GPS (146-160 MHz), $ 16.519 
,X,PMAD4121,Antena VHF Stubby (160-174MHZ) , $ 16.519 
,X,PMAF4009,Antena Stubby 800 MHz (806-870MHZ) , $ 20.139 
,X,PMAF4010,Antena Stubby 800/900 MHz (896-941MHZ), $ 20.139 
,X,PMAF4011,Antena de látigo flexible de 800 MHz (806-870MHZ) , $ 16.111 
,X,PMAF4012,Antena flexible de látigo de 900 MHz (896-941MHZ), $ 16.111 
X,X,32012144001,ID antena gris (pack de 10), $ 9.029 
X,X,32012144002,ID antena amarilla (pack de 10), $ 9.029 
X,X,32012144003,ID antena verde (pack de 10), $ 9.029 
X,X,32012144004,ID antena azul (pack de 10), $ 9.029 
X,X,32012144005,ID antena morada (pack de 10), $ 9.029 
,,,Baterías,
,X,PMNN4807,Batería compacta IMPRES de iones de litio de 2200 mAh IP68, $ 158.397 
,X,PMNN4809,Batería compacta IMPRES de iones de litio de 2850 mAh IP68, $ 239.383 
,X,PMNN4810,Batería IMPRES de iones de litio de 3200 mAh IP68 TIA4950, $ 244.384 
X,,PMNN4803,Batería IMPRES de iones de litio de 2820 mAh IP68, $ 256.966 
X,,PMNN4804,Batería IMPRES de iones de litio de 2900 mAh IP68 TIA4950, $ 337.160 
X,,PMNN4805,Batería IMPRES de iones de litio de 4400 mAh IP68 TIA4950, $ 376.352 
,,,Cargadores,
X,X,EPNN7991,Fuente de alimentación para cargador individual de carga rápida, $ 23.465 
,X,PMPN4577,"Cargador IMPRES individual, enchufe EURO", $ 95.943 
X,,PMPN4525,"Cargador IMPRES 2 individual, enchufe EURO", $ 88.951 
,,,Cargadores Vehiculares,
,X,NNTN7616,Cargador vehicular de velocidad rápida de una sola unidad IMPRES, $ 602.158 
,X,NNTN8525,"Cargador de viaje rápido con adaptador de voltaje regulado, basepersonalizada, soporte y cable en espiral", $ 130.995 
X,,PMPN4613,Base de carga IMPRES 2 con kit de montaje, $ 353.000 
X,,PS000514A01,Adaptador para encendedor de repuesto, $ 67.160 
X,,HW003289A01,Correa de repuesto, $ 10.137 
,,,Cargador Múltiple,
,X,PMPN4289,"Cargador rápido de unidades múltiples IMPRES 2 con 1 pantalla, enchufe EURO", $ 893.473 
X,,PMPN4499,"Cargador rápido de unidades múltiples IMPRES 2 con 1 pantalla, enchufe EURO", $ 1.064.475 
,,,Accesorios de Audio de Vigilancia,
X,X,PMLN8341,"Kit de vigilancia IMPRES™ de 1 cable con tubo translúcido, audio fuerte, negro", $ 76.936 
X,X,PMLN8342,"Kit de vigilancia IMPRES™ de 2 cables con tubo translúcido, audio alto, negro", $ 140.272 
X,X,PMLN8343,"Kit de vigilancia IMPRES™ de 3 cables con tubo translúcido, audio fuerte, negro", $ 220.444 
X,X,PMLN8295,"Gancho para la oreja giratorio de 2 cables IMPRES™ con punta extraíble, audio alto, negro", $ 130.248 
X,X,PMLN8337,"Auricular único de 1 cable con gancho removible, audio fuerte, negro", $ 46.388 
,,,Kits de repuestos para accesorios de vigilancia,
X,X,PMLN8092,"Tubo acústico con auricular de goma, kit de repuesto", $ 16.428 
X,X,PMLN8068,"Gancho para la oreja, pequeña. Pack 5", $ 29.145 
X,X,PMLN8069,"Gancho para la oreja, medio. Pack 5", $ 29.145 
X,X,PMLN8070,"Gancho para la oreja, grande. Pack 5", $ 29.145 
X,X,PMLN8363,"Funda de goma para auriculares, pequeña. Pack 25", $ 39.826 
X,X,PMLN8364,"Funda de goma para auriculares, medio. Pack 25", $ 39.826 
X,X,PMLN8365,"Funda de goma para auriculares, grande. Pack 25", $ 39.826 
,,,"Accesorios para Micrófonos con Altavoz Remoto (conector estándar de 3,5mm.)",
