Producto,Nombre Modelo Especial,Caracteristicas ,Recomendados,Descripción,Modelo,Canales,Frecuencia,,Watts,$ Lista
Motorola R5,,"Opcion LKP y NK,Audio hasta 106 phones,Supresión de ruido IA,Batería hasta 32 hrs de duración,IP67 agua y polvo,Durabilidad resistente MIL-STD810H,Botón de emergencia,Formato compacto y elegante,Intrínsicamente seguro opcional,BT 2.5, WiFi 2.4/5.0 GHz LKP,WPA2 y WPA3,Compatible RFID,Licencia IPSC standard","PMNN4889  Batería Li-Ion 3200mAh IMPRES IP67,PMMN4171 RM530 MPR IMPRES windport IP67,PMMN4127 WM500 MPR inalámbrico",,,,,,,
Motorola R5,MOTOTRBO R5,,,,LAH07JDC9VA1AN,64,136-174 MHz,,5 W, $  860.361 
Motorola R5,MOTOTRBO R5,,,,LAH07RDC9VA1AN,64,400-527 MHz,,4 W, $  860.361 
Motorola R5,MOTOTRBO R5,,,,LAH07JDC9VA1AN-UL,64,136-174 MHz,,5 W, $  948.530 
Motorola R5,MOTOTRBO R5,,,,LAH07RDC9VA1AN-UL,64,400-527 MHz,,4 W, $  948.530 
Motorola R5,MOTOTRBO R5,,,,LAH07JDH9SA1AN,256,136-174 MHz,,5 W, $  974.127 
Motorola R5,MOTOTRBO R5,,,,LAH07RDH9SA1AN,256,400-527 MHz,,4 W, $  974.127 
Motorola R5,MOTOTRBO R5,,,,LAH07JDH9SA1AN-UL,256,136-174 MHz,,5 W, $  1.062.297 
Motorola R5,MOTOTRBO R5,,,,LAH07RDH9SA1AN-UL,256,400-527 MHz,,4 W, $  1.062.297 
Motorola R5,MOTOTRBO R5 GNSS,,,, LAH07JDH9WA1AN,256,136-174 MHz,,5 W, $  1.130.557 
Motorola R5,MOTOTRBO R5 GNSS,,,,LAH07RDH9WA1AN,256,400-527 MHz,,4 W, $  1.130.557 
Motorola R7,,"Wi-Fi de 2.4 Ghz y 5 Ghz. Bluetooth 5.1 para una conectividad simple,Pantalla QVGA de 2.4 pulgadas 320 x 240 px,Supresión de ruido con doble micrófono adaptable,Supresión automática de la retroalimentación acústica,Audio inteligente y tecnología IMPRES,Sonoridad programable hasta 107 fones.,Clasificación IP68 para inmersión en agua (2 mts por 2 hrs).,Clasificación IP66 para presión de chorro de agua concentrada.,Resistente a la noma MIL-STD810,Conector lateral robusto y resistente a la corrosión.,Opción de seguridad intrínsica (UL TIA-4950),Modelo Capable y Enable (GPS)",,,,,,,,
Motorola R7,R7 Non-Display Capable (ex DGP5050e),,,,LAH06JDC9WA2AN,Capable,64,136-174 MHz,5 W, $  1.094.094 
Motorola R7,R7 Non-Display Capable (ex DGP5050e),,,,LAH06RDC9WA2AN,Capable,64,403-512 MHz,4 W, $  1.094.094 
Motorola R7,R7 Non-Display Capable (ex DGP5050e),,,,LAH06JDC9WA1AN,Capable-TIA,64,136-174 MHz,5 W, $  1.197.907 
Motorola R7,R7 Non-Display Capable (ex DGP5050e),,,,LAH06RDC9WA1AN,Capable-TIA,64,403-512 MHz,4 W, $  1.197.907 
Motorola R7,R7 Non-Display Enable (ex DGP8050e),,,,LAH06JDC9RA2AN,Enable,64,136-174 MHz,5 W, $  1.267.589 
Motorola R7,R7 Non-Display Enable (ex DGP8050e),,,,LAH06RDC9RA2AN,Enable,64,403-512 MHz,4 W, $  1.267.589 
Motorola R7,R7 Non-Display Enable (ex DGP8050e),,,,LAH06JDC9RA1AN,Enable- TIA,64,136-174 MHz,5 W, $  1.371.401 
Motorola R7,R7 Non-Display Enable (ex DGP8050e),,,,LAH06RDC9RA1AN,Enable- TIA,64,403-512 MHz,4 W, $  1.371.401 
Motorola R7,R7 Display Capable (ex DGP5550e),,,,LAH06JDN9WA2AN,Capable,1000,136-174 MHz,5 W, $  1.269.011 
Motorola R7,R7 Display Capable (ex DGP5550e),,,,LAH06RDN9WA2AN,Capable,1000,403-512 MHz,4 W, $  1.269.011 
Motorola R7,R7 Display Capable (ex DGP5550e),,,,LAH06JDN9WA1AN,Capable-TIA,1000,136-174 MHz,5 W, $  1.395.576 
Motorola R7,R7 Display Capable (ex DGP5550e),,,,LAH06RDN9WA1AN,Capable-TIA,1000,403-512 MHz,4 W, $  1.395.576 
Motorola R7,R7 Display Enable (ex DGP8550e),,,,LAH06JDN9RA2AN,Enable,1000,136-174 MHz,5 W, $  1.483.745 
Motorola R7,R7 Display Enable (ex DGP8550e),,,,LAH06RDN9RA2AN,Enable,1000,403-512 MHz,4 W, $  1.483.745 
Motorola R7,R7 Display Enable (ex DGP8550e),,,,LAH06JDN9RA1AN,Enable- TIA,1000,136-174 MHz,5 W, $  1.610.311 
Motorola R7,R7 Display Enable (ex DGP8550e),,,,LAH06RDN9RA1AN,Enable- TIA,1000,403-512 MHz,4 W, $  1.610.311 
Motorola Ion,,"Diseñado para cualquier entorno,Función de voz y datos,Pantalla táctil intuitiva y utraresistente,Tecnología de audio primer nivel,Experiencia personalizable,Batería de larga duración,Plataforma Android,Interoperabilidad entre redes con WAVE PTX TM,Compatible con sistemas DMR,4G LTE, Wi Fi, Bluetooth","PMNN4085 Batería IMPRES Li-Ion, IP68 4400T TIA4950,PMNN4804 IMPRES Li-Ion, IP68 2900T TIA4950,PMMN4128 Micrófono parlante remoto,PMLN8082 Auriculares con PTT",,,,,,,
Motorola Ion,MOTOTRBO ION,,,,LAH90ZDU9RJ1AN,1000,400-527 MHz,,4 W, $  2.914.475 
DEM500,,"Inhibidor de canal,12.5 kHz, 25 kHz,Estándares IP55,Mensaje de texto,Programación en el aire,Protección de Password,Anuncio de voz para canal,Llamada de alerta,Prueba Vida Acelerada ALT™ Motorola","PMMN4091 Micrófono heavy duty,PMKN4147 Cable de programación frontal,RLN4836 Interruptor de pie",,,,,,,
DEM500,Modelo DEM 500,,,,LAM02JNH9JA1AN,128,136-174 MHz,,25 W, $  771.580 
DEM500,Modelo DEM 500,,,,LAM02JQH9JA1AN,128,136-174 MHz,,45 W, $  811.555 
DGM5000e,Modelo DGM 5000e ,"Privacidad mejorada,Interrupción de llamada,4 botones programables ,Mensajes de texto,Pantalla numérica de 2 dígitos,Audio Inteligente,IP54 impermeable,Bluetooth 4.0 audio/data,Wifi integrado con capacidad de actualización ,firmware por aire,Prueba Vida Acelerada ALT™ Motorola","RMN5065 Micrófono IMPRES con teclado,GLN7318 Montaje para escritorio,RMN5050 Mic. de escritorio ,RMN5054 Micrófono IMPRES para visor,RSN4002 Bocina externa 13W,RLN5929 Interruptor de pedal",,,,,,,
DGM5000e,Modelo DGM 5000e ,,,,LAM28JNC9SA1AN,32,136-174 MHz,,25 W, $  942.785 
