Producto,Nombre Modelo Especial,Caracteristicas ,Recomendados,Descripción,Modelo,Canales,Frecuencia,,Watts,$ Lista
VX-80,,"Compacto y discreto, Anuncio de canal, audio fuerte y claro, Anuncio de canal, audio fuerte y claro, Batería de Ion de Litio. Modo ahorro batería, Conector para accesorios de 2 pines, ID PTT, Indicador estado de batería","CZ089B002 - FNB-Z165 Batería 1600 mAh, CZ084AUA01 - MHZ-101B Mic. Parlante, CZ084AUA01 - MHZ-101B Mic. Parlante","Incluye Batería Li ion 1600 mAh (FNB-Z165), cargador de escritorio, antena standard VHF (CZ089AN006) -UHF (CZ089AN004), belt clip, guía de usuario.",,,,,,
VX-80,VX-80,,,,AZ089N232,16,136-174 MHz,,5 W, $  126.339 
VX-80,VX-80,,,,AZ089U232,16,403-470 MHz,,4 W, $  126.339 
X10d,,"Cancelación de ruido,3 W de audio,12.5 kHz,APP programación,Botón de emergencia,USB-C cargador,Programable trabajador solitario, anuncio de canal,Programable Scan-DTMF,Programable grabación de voz,IP55 ","PS000150A32 adaptadoreuropeo 240 VAC, PMLN6532 Auricular giratorio con micrófono y PTT, PMMN4092 Micrófono con altavoz remoto","Incluye: Batería Li-Ion PMNN4847,  Cargador Cuna PMLN8599, Antena Standard VHF-UHF, Belt Clip PMLN8600, guía usuario.",,,,,,
X10d,X10d,,,,LAH88LDK8AD5AN,64,136-174 MHz,,5 W, $  217.980 
X10d,X10d,,,,LAH88TCK8AD5AN,64,450-527 MHz,,4 W, $  217.980 
DEP250,,"Modo directo de capacidad dual,Mensajes de texto pre-programados,Transmit Interrupt en decodificación,Anuncio de voz,Fácil de usar,Resistente polvo y agua IP54,Prueba Vida Acelerada ALT™ Motorola","PMNN4476 Batería li ion IP54 1750T,PMLN6597 Cargador múltiple,HLN6602 Pechera Universal,HKLN4599 Auricular PTT y Mic,PMMN4013 Micrófono Parlante Remoto con conector","Incluye Batería Li ion 1750 T (PMNN4476), cargador (cuna y trafo PMLN5228- PS000037A01), antena standard VHF -UHF,  clip de cinturón (HLN9844), guía de uso.",,,,,,
DEP250,Modelo DEP 250 Ana,,,,LAH87JDC9JC2AN,16,136-174 MHz,,5 W, $  233.994 
DEP250,Modelo DEP 250 Ana,,,,LAH87YDC9JC2AN,16,403-480 MHz,,4 W, $  233.994 
DEP250,Modelo DEP 250 Ana LKP,,,,LAH87JDH9JC2AN,160,136-174 MHz,,5 W, $  259.796 
DEP250,Modelo DEP 250 Ana LKP,,,,LAH87YDH9JC2AN,160,403-480 MHz,,4 W, $  259.796 
DEP250,Modelo DEP 250 DG,,,,LAH87JDC9JA2AN,16,136-174 MHz,,5 W, $  275.811 
DEP250,Modelo DEP 250 DG,,,,LAH87YDC9JA2AN,16,403-480 MHz,,4 W, $  275.811 
DEM300,,"Pantalla numérica DEM300,Pantalla alfanumérica DEM400,Encriptación analógica,Estándares IP54,Anuncio de voz,Password protection,Auto reset timer,12.5 kHz  25 kHz,44 X 169 X 134 MM,Interrupción de transmisión,Prueba Vida Acelerada ALT™ Motorola","PMMN4090 Micrófono compacto,PMMN4091 Micrófono ultra resistente,HLN9414 Clip para colgar micrófono universal,RSN4001 Altavoz externo 13W","Incluye: micrófono con clip (PMMN4090), cable (HKN4191), soporte (RLN6469), guía de uso.",,,,,,
DEM300,Modelo DEM 300,,,,LAM01JQC9JC1AN,16,136-174 MHz,,45 W, $  364.782 
DEM400,,"Pantalla numérica DEM300,Pantalla alfanumérica DEM400,Encriptación analógica,Estándares IP54,Anuncio de voz,Password protection,Auto reset timer,12.5 kHz  25 kHz,44 X 169 X 134 MM,Interrupción de transmisión,Prueba Vida Acelerada ALT™ Motorola","PMMN4090 Micrófono compacto,PMMN4091 Micrófono ultra resistente,HLN9414 Clip para colgar micrófono universal,RSN4001 Altavoz externo 13W",,,,,,,
DEM400,Modelo DEM 400,,,,LAM01JQH9JC1AN,64,136-174 MHz,,45 W, $  405.709 
