"product_id","nombre","tipo_producto","tecnologia","modalidad","portabilidad","frecuencia","descripcion_corta","descripcion","image_url","precio"
"CZ072CL61","Clip para cinturón VX-80 (para FNB-Z165LI)","Accesorios","","Venta","Portátiles","UHF, VHF","","\n \n \n Frecuencia \n UHF, VHF \n \n \n Compatibilidad \n VX80 \n \n \n Portabilidad \n Portátiles \n \n \n Tipo Accesorio \n Clip \n \n \n Tipo Producto \n Accesorios \n \n \n Modalidad \n Venta \n \n \n","","1"
"DEM300","EQUIPO RADIO DIGITAL ANÁLOGO MOVIL DMR MOTOROLA DEM300","Equipos","Análogos, Digitales","Venta","Móviles","VHF","DEM300, 16 canales, rango VHF, 25W","\n \n \n Tipo Producto \n Equipos \n \n \n Tecnología \n Análogos, Digitales \n \n \n Portabilidad \n Móviles \n \n \n Frecuencia \n VHF \n \n \n Canales \n 16 \n \n \n Consumo \n 25W, 45W \n \n \n Modalidad \n Venta \n \n \n Marca \n Motorola \n \n \n \n","",""
"DEM400","EQUIPO RADIO DIGITAL MOVIL DMR MOTOROLA DEM400","Equipos","Análogos, Digitales","Venta","Móviles","VHF, UHF","","\n \n \n Tipo Producto \n Equipos \n \n \n Tecnología \n Análogos, Digitales \n \n \n Portabilidad \n Móviles \n \n \n Frecuencia \n VHF|UHF \n \n \n Canales \n 64 \n \n \n Consumo \n 25W, 45W \n \n \n Modalidad \n Venta \n \n \n Marca \n Motorola \n \n \n \n","",""
"DEP250","EQUIPO RADIO DIGITAL ANALOGO PORTATIL MOTOROLA DEP250","Equipos","Análogos, Digitales","Venta","Portátiles","VHF, UHF","","\n \n \n Tipo Producto \n Equipos \n \n \n Tecnología \n Análogos|Digitales \n \n \n Portabilidad \n Portátiles \n \n \n Frecuencia \n VHF|UHF \n \n \n Canales \n 16 \n \n \n Consumo \n 4W, 5W \n \n \n Modalidad \n Venta \n \n \n Marca \n Motorola \n \n \n \n","",""
"DGM8500e","EQUIPO RADIO DIGITAL MOVIL MOTOROLA DGM8500e CD","Equipos","Análogos, Digitales","Venta","Móviles","VHF, UHF","","\n \n \n Tipo Producto \n Equipos \n \n \n Tecnología \n Análogos|Digitales \n \n \n Portabilidad \n Móviles \n \n \n Frecuencia \n VHF|UHF \n \n \n Canales \n 1000 \n \n \n Consumo \n 40W, 45W \n \n \n Modalidad \n Venta \n \n \n Marca \n Motorola \n \n \n \n","",""
"HKLN4599B","Audifono auricular con PTT, Mic, conector liso, sin PVC","Accesorios","","Venta","Portátiles","UHF, VHF","","\n \n \n Frecuencia \n UHF, VHF \n \n \n Compatibilidad \n \n \n \n \n DEP250|EP350LKP|EP350NKP \n \n \n \n \n \n \n Portabilidad \n Portátiles \n \n \n Tipo Accesorio \n Auriculares \n \n \n Tipo Producto \n Accesorios \n \n \n Modalidad \n Venta \n \n \n","","1"
"HKLN4601A","Kit de Vigilancia Auricular de 1 cable con Micrófono y PTT","Accesorios","","Venta","Portátiles","UHF, VHF","","\n \n \n Frecuencia \n UHF, VHF \n \n \n Compatibilidad \n \n \n \n \n DEP250|DEP450|EP450 \n \n \n \n \n \n \n Portabilidad \n Portátiles \n \n \n Tipo Accesorio \n Auriculares \n \n \n Tipo Producto \n Accesorios \n \n \n Modalidad \n Venta \n \n \n","","1"
"HLN8255B","Clip para cinturón de 7 cm con resorte","Accesorios","","Venta","Portátiles","UHF, VHF","","\n \n \n Frecuencia \n UHF, VHF \n \n \n Compatibilidad \n DEP250, DEP450, EP450 \n \n \n Portabilidad \n Portátiles \n \n \n Tipo Accesorio \n Clip \n \n \n Tipo Producto \n Accesorios \n \n \n Modalidad \n Venta \n \n \n","","1"
"NAD6502AR","Antena Heliflex 146-174 MHZ","Accesorios","","Venta","Portátiles","VHF","","\n \n \n Compatibilidad \n DEP450 \n \n \n Portabilidad \n Portátiles \n \n \n Tipo Accesorio \n Antenas \n \n \n Frecuencia \n VHF \n \n \n Tipo Producto \n Accesorios \n \n \n Modalidad \n Venta \n \n \n Marca \n Motorola \n \n \n","","1"
"NNTN4497DR","Batería Alta Capacidad Li-Ion 2250mAh 7.5V","Accesorios","","Venta","Portátiles","UHF, VHF","","\n \n \n Compatibilidad \n \n \n \n \n DEP450|EP450 \n \n \n \n \n \n \n Portabilidad \n Portátiles \n \n \n Tipo Accesorio \n Baterías \n \n \n Frecuencia \n \n \n \n \n UHF|VHF \n \n \n \n \n \n \n Tipo Producto \n Accesorios \n \n \n Modalidad \n Venta \n \n \n Marca \n Motorola \n \n \n","","1"
"NNTN8560B","Batería TIA4950/UL Impres Li-Ion, 2500 MAH, sumergible (IP67)","Accesorios","","Venta","Portátiles","UHF, VHF","","\n \n \n Frecuencia \n UHF, VHF \n \n \n Compatibilidad \n \n \n \n \n DGP5000|DGP5000e|DGP8000|DGP8000e \n \n \n \n \n \n \n Portabilidad \n Portátiles \n \n \n Tipo Accesorio \n Baterías \n \n \n Tipo Producto \n Accesorios \n \n \n Modalidad \n Venta \n \n \n","","1"
"PMDN4041BR","Adaptador Antena RF EP350/EP450/DEP450","Accesorios","","Venta","Portátiles","UHF, VHF","","\n \n \n Frecuencia \n UHF, VHF \n \n \n Compatibilidad \n \n \n \n \n EP350/EP450/DEP450 \n \n \n \n \n \n \n Portabilidad \n Portátiles \n \n \n Tipo Accesorio \n Adaptador \n \n \n Tipo Producto \n Accesorios \n \n \n Modalidad \n Venta \n \n \n","","1"
"PMLN4651A","Clip 2'' para Cinturón","Accesorios","","Venta","Portátiles","UHF, VHF","","\n \n \n Frecuencia \n UHF, VHF \n \n \n Compatibilidad \n \n \n \n \n DEP500e|DEP570e|DGP4100|DGP5000|DGP5000e|DGP6100+|DGP8000|DGP8000e \n \n \n \n \n \n \n Portabilidad \n Portátiles \n \n \n Tipo Accesorio \n Clips \n \n \n Tipo Producto \n Accesorios \n \n \n Modalidad \n Venta \n \n \n","","1"
"PMLN7939A","Estuche con Clip Cinturón 3"" SerieDTR","Accesorios","","Venta","Portátiles","UHF, VHF","","\n \n \n Frecuencia \n UHF, VHF \n \n \n Compatibilidad \n \n \n \n \n DTR \n \n \n \n \n \n \n Portabilidad \n Portátiles \n \n \n Tipo Accesorio \n Estuche \n \n \n Tipo Producto \n Accesorios \n \n \n Modalidad \n Venta \n \n \n","","1"
"PMMN4013A","Micrófono parlante remoto con conector para accesorio de audio","Accesorios","","Venta","Portátiles","UHF, VHF","","\n \n \n Frecuencia \n UHF, VHF \n \n \n Compatibilidad \n A8, DEP250, DEP450, EP350MX, EP450 \n \n \n Portabilidad \n Portátiles \n \n \n Tipo Accesorio \n Micrófono \n \n \n Tipo Producto \n Accesorios \n \n \n Modalidad \n Venta \n \n \n","","1"
"PMNN4476A","Batería IP54 Li-Ion 1500m 1700","Accesorios","","Venta","Portátiles","UHF, VHF","","\n \n \n Compatibilidad \n DEP250, EP350LKP, EP350NKP \n \n \n Portabilidad \n Portátiles \n \n \n Tipo Accesorio \n Baterías \n \n \n Frecuencia \n UHF, VHF \n \n \n Tipo Producto \n Accesorios \n \n \n Modalidad \n Venta \n \n \n Marca \n Motorola \n \n \n","","1"
"PMNN4807A","Batería Compacta Impres Li-Ion de 2200 mAh IP68","Accesorios","","Venta","Portátiles","UHF, VHF","","\n \n \n Frecuencia \n UHF, VHF \n \n \n Compatibilidad \n \n \n \n \n R7 DISPLAY-CAPABLE|R7 DISPLAY-ENABLED|R7 NON-DISPLAY-CAPABLE|R7 NON-DISPLAY-ENABLED \n \n \n \n \n \n \n Portabilidad \n Portátiles \n \n \n Tipo Accesorio \n Baterías \n \n \n Tipo Producto \n Accesorios \n \n \n Modalidad \n Venta \n \n \n","","1"
"R2","EQUIPO RADIO DIGITAL ANALOGO PORTATIL MOTOROLA R2","Equipos","Análogos, Digitales","Venta","Portátiles","VHF, UHF","","\n \n \n Tipo Producto \n Equipos \n \n \n Tecnología \n Análogos|Digitales \n \n \n Portabilidad \n Portátiles \n \n \n Frecuencia \n VHF|UHF \n \n \n Canales \n 64 \n \n \n Consumo \n 4W, 5W \n \n \n Modalidad \n Venta \n \n \n Marca \n Motorola \n \n \n \n","",""
"R7","EQUIPO RADIO DIGITAL PORTATIL MOTOROLA R7 DISPLAY","Equipos","Digitales","Venta","Portátiles","UHF","","\n \n \n Tipo Producto \n Equipos \n \n \n Tecnología \n Digitales \n \n \n Portabilidad \n Portátiles \n \n \n Frecuencia \n UHF \n \n \n Canales \n 1000 \n \n \n Consumo \n 4W \n \n \n Modalidad \n Venta \n \n \n Marca \n Motorola \n \n \n \n","",""
"RMN5052A","Microfono de palma Compacto Serie DGM","Accesorios","","Venta","Móviles","UHF, VHF","","\n \n \n Frecuencia \n UHF, VHF \n \n \n Compatibilidad \n \n \n \n \n DGM4100 DGM6100| DGM4100+ DGM6100+ | DGM5000/5000e 5500/5500e |DGM8000/8000e 8500/8500e \n \n \n \n \n \n \n Portabilidad \n Móviles \n \n \n Tipo Accesorio \n Micrófonos \n \n \n Tipo Producto \n Accesorios \n \n \n Modalidad \n Venta \n \n \n","","1"
"VX80","EQUIPO RADIO ANALOGO PORTATIL MOTOROLA VX80","Equipos","Análogos","Venta","Portátiles","VHF, UHF","","\n \n \n Tipo Producto \n Equipos \n \n \n Tecnología \n Análogos \n \n \n Portabilidad \n Portátiles \n \n \n Frecuencia \n VHF|UHF \n \n \n Canales \n 16 \n \n \n Consumo \n 4W, 5W \n \n \n Modalidad \n Venta \n \n \n Marca \n Motorola \n \n \n \n","",""
"XUCET0013","Antena Stubby 450-485Mhz 3.5 (Atu-6Ds)","Accesorios","","Venta","Portátiles","UHF","","\n \n \n Frecuencia \n UHF \n \n \n Compatibilidad \n \n \n \n \n VX-261|VX-264|EVX-261 \n \n \n \n \n \n \n Portabilidad \n Portátiles \n \n \n Tipo Accesorio \n Antenas \n \n \n Tipo Producto \n Accesorios \n \n \n Modalidad \n Venta \n \n \n","","1"
